category,sku,ean,price,primary_image_url,currency,link,time,title,availability,desc
"Home,Watches,Smart Watches",sku:284388,ean:6947681528086,"SG$529,.99",http://i2.expansys.com/img/b/284388/motorola-moto-360-2nd-generation.jpg,SGD,http://www.expansys.com.sg/motorola-moto-360-2nd-generation-mens-46mm-case-cognac-leather-284388/,11:14:27.097000,Motorola moto 360 (2nd Gen.) ,,
Home,sku:266790,ean:818279012279,"SG$236,.85",http://i1.expansys.com/img/b/266790/gopro-hero-action-cam.jpg,SGD,http://www.expansys.com.sg/gopro-hero-action-cam-266790/,11:14:27.683000,GoPro HERO Action Cam,,
"Home,Geek Shop,Audio & Visual",sku:273004,ean:5055887315339,"SG$119,.43",http://i1.expansys.com/img/b/273004/sjcam-sj4000-wifi-full-hd-sports-camera.jpg,SGD,http://www.expansys.com.sg/sjcam-sj4000-wifi-full-hd-sports-camera-black-273004/,11:14:28.230000,SJCAM SJ4000 WIFI Full HD Sports Camera ,,
"Home,Geek Shop,Audio & Visual",sku:266787,ean:818279013436,"SG$536,.60",http://i2.expansys.com/img/b/266787/gopro-hero4-silver.jpg,SGD,http://www.expansys.com.sg/gopro-hero4-silver-standard-266787/,11:14:28.953000,GoPro HERO4 Silver ,,
"Home,Geek Shop,Audio & Visual",sku:276488,ean:5055887319962,"SG$202,.39",http://i2.expansys.com/img/b/276488/sjcam-sj5000-plus-full-hd-sports-camera.jpg,SGD,http://www.expansys.com.sg/sjcam-sj5000-plus-full-hd-sports-camera-silver-276488/,11:14:30.155000,SJCAM SJ5000 Plus WiFi Full HD Sports Camera ,,
"Home,Geek Shop,Audio & Visual",sku:266786,ean:818279013085,"SG$708,.90",http://i2.expansys.com/img/b/266786/gopro-hero4-black.jpg,SGD,http://www.expansys.com.sg/gopro-hero4-black-standard-266786/,11:14:31.357000,GoPro HERO4 Black ,,
"Home,Tablet PCs & iPads,Tablet Accessories,Headphones & Speakers",sku:225030,ean:6438158403048,"SG$182,.99",http://i1.expansys.com/img/b/225030/nokia-purity-hd-stereo-headset-by-monster.jpg,SGD,http://www.expansys.com.sg/nokia-purity-hd-stereo-headset-by-monster-blue-225030/,11:14:32.524000,Nokia Purity HD Stereo Headset by Monster ,,
Home,sku:272626,,"SG$274,.99",http://i2.expansys.com/img/b/272626/veho-muvi-k-series-k1-handsfree-camera.jpg,SGD,http://www.expansys.com.sg/veho-muvi-k-series-k1-handsfree-camera-272626/,11:14:34.341000,Veho MUVI™ K-Series K-1 Wi-Fi Handsfree Camera ,,
Home,sku:251732,ean:017817621427,"SG$90,.98",http://i1.expansys.com/img/b/251732/bose-soundlink-mini-bluetooth-speaker-travel-bag.jpg,SGD,http://www.expansys.com.sg/bose-soundlink-mini-bluetooth-speaker-travel-bag-gray-251732/,11:14:34.379000,Bose SoundLink Mini II/Mini Travel Bag ,,
"Home,Mobile Phones,Dual SIM Phones",sku:285219,ean:8806084998897,"SG$938,.09",http://i2.expansys.com/img/b/285219/lg-v10-dual-sim-h961n.jpg,SGD,http://www.expansys.com.sg/lg-v10-dual-sim-h961n-unlocked-64gb-luxe-white-285219/,11:14:34.864000,LG V10 Dual-SIM H961N ,,
"Home,Phablets",sku:284423,ean:8806086991308,"SG$1,094,.99",http://i1.expansys.com/img/b/284423/samsung-galaxy-note5-dual-sim-sm-n9200.jpg,SGD,http://www.expansys.com.sg/samsung-galaxy-note5-dual-sim-sm-n9200-unlocked-lte-64gb-gold-platinum-284423/,11:14:36.496000,Samsung Galaxy Note5 (Dual SIM) SM-N9200 ,,
"Home,Mobile Phones,Dual SIM Phones",sku:285211,ean:8806084998859,"SG$938,.09",http://i1.expansys.com/img/b/285211/lg-v10-dual-sim-h961n.jpg,SGD,http://www.expansys.com.sg/lg-v10-dual-sim-h961n-unlocked-64gb-space-black-285211/,11:14:37.766000,LG V10 Dual-SIM H961N ,,
"Home,Geek Shop,Audio & Visual",sku:273009,ean:5055887315353,"SG$119,.43",http://i2.expansys.com/img/b/273009/sjcam-sj4000-wifi-full-hd-sports-camera.jpg,SGD,http://www.expansys.com.sg/sjcam-sj4000-wifi-full-hd-sports-camera-gold-273009/,11:14:37.844000,SJCAM SJ4000 WIFI Full HD Sports Camera ,,
"Home,Geek Shop,Audio & Visual",sku:273010,ean:5055887315346,"SG$109,.22",http://i1.expansys.com/img/b/273010/sjcam-sj4000-wifi-full-hd-sports-camera.jpg,SGD,http://www.expansys.com.sg/sjcam-sj4000-wifi-full-hd-sports-camera-blue-273010/,11:14:38.064000,SJCAM SJ4000 WIFI Full HD Sports Camera ,,
Home,sku:254364,,"SG$39,.93",http://i1.expansys.com/img/b/254364/denon-ah-c260-in-ear-headphones.jpg,SGD,http://www.expansys.com.sg/denon-ah-c260-in-ear-headphones-black-254364/,11:14:39.130000,Denon AH-C260 In-Ear Headphones ,,
"Home,Geek Shop,Audio & Visual",sku:276482,,SG$170,http://i1.expansys.com/img/b/276482/sjcam-sj5000-wifi-full-hd-sports-camera.jpg,,http://www.expansys.com.sg/sjcam-sj5000-wifi-full-hd-sports-camera-white-276482/,11:14:39.447000,SJCAM SJ5000 WIFI Full HD Sports Camera ,,
"Home,Watches,Bluetooth Watches",sku:280048,,SG$199,http://i2.expansys.com/img/b/280048/omate-racer-limited-edition.jpg,,http://www.expansys.com.sg/omate-racer-limited-edition-camo-silicon-band-280048/,11:14:39.669000,Omate Racer Limited Edition ,,
"Home,Tablet PCs & iPads,Android,Android Tablets - 9""",sku:268547,ean:4718487661213,"SG$659,.99",http://i2.expansys.com/img/b/268547/google-nexus-9-tablet.jpg,SGD,http://www.expansys.com.sg/google-nexus-9-tablet-unlocked-lte-32gb-indigo-black-268547/,11:14:40.269000,Google Nexus 9 ,,
"Home,Geek Shop,Audio & Visual",sku:276490,ean:5055887324041,SG$202,http://i1.expansys.com/img/b/276490/sjcam-sj5000-plus-full-hd-sports-camera.jpg,,http://www.expansys.com.sg/sjcam-sj5000-plus-full-hd-sports-camera-blue-276490/,11:14:40.833000,SJCAM SJ5000 Plus WiFi Full HD Sports Camera ,,
"Home,Tablet PCs & iPads,Tablet Accessories,Headphones & Speakers",sku:254478,,"SG$109,.22",http://i2.expansys.com/img/b/254478/philips-shl5500-headband-headphones.jpg,SGD,http://www.expansys.com.sg/philips-shl5500-headband-headphones-254478/,11:14:41.188000,Philips SHL5500 Headband headphones,,
Home,sku:272973,ean:4906933608312,"SG$18,.99",http://i1.expansys.com/img/b/272973/tdk-th-pmec300bl-clef-p2-mega-bass-in-ear-headphone.jpg,SGD,http://www.expansys.com.sg/tdk-th-pmec300bl-clef-p2-mega-bass-in-ear-headphone-blue-272973/,11:14:41.250000,TDK Clef-P2 MEGA BASS Tuning In-Ear Headphone ,,
"Home,Tablet PCs & iPads,Tablets,iPads",sku:285855,ean:888462533515,"SG$1,589,.99",http://i2.expansys.com/img/b/285855/apple-ipad-pro-a1652.jpg,SGD,http://www.expansys.com.sg/apple-ipad-pro-a1652-lte-128gb-gold-285855/,11:14:41.303000,Apple iPad Pro A1652 ,,
"Home,Geek Shop,Audio & Visual",sku:273005,ean:5055887315391,"SG$119,.43",http://i2.expansys.com/img/b/273005/sjcam-sj4000-wifi-full-hd-sports-camera.jpg,SGD,http://www.expansys.com.sg/sjcam-sj4000-wifi-full-hd-sports-camera-yellow-273005/,11:14:41.519000,SJCAM SJ4000 WIFI Full HD Sports Camera ,,
"Home,Tablet PCs & iPads,Tablet Accessories,Headphones & Speakers",sku:254468,ean:8710895960007,"SG$70,.93",http://i2.expansys.com/img/b/254468/philips-shc2000-wireless-hifi-headphones.jpg,SGD,http://www.expansys.com.sg/philips-shc2000-wireless-hifi-headphones-for-tv-254468/,11:14:42.505000,Philips SHC2000 Wireless HiFi Headphones ,,
"Home,Tablet PCs & iPads,Tablet Accessories,Headphones & Speakers",sku:254474,,"SG$72,.75",http://i1.expansys.com/img/b/254474/philips-shl3200-00-headband-headphones.jpg,SGD,http://www.expansys.com.sg/philips-shl3200-00-headband-headphones-dj-monitor-style-254474/,11:14:43.237000,Philips SHL3200/00 Headband headphones ,,
"Home,Mobile Phones,SIM Free Phones,Android,Marshmallow 6.0",sku:284559,ean:8806084998460,"SG$609,.99",http://i2.expansys.com/img/b/284559/google-nexus-5x.jpg,SGD,http://www.expansys.com.sg/google-nexus-5x-unlocked-16gb-carbon-black-284559/,11:14:43.491000,Google Nexus 5X LG-H798 ,,
"Home,Mobile Phones,Dual SIM Phones",sku:280092,ean:4718487675616,"SG$594,.99",http://i1.expansys.com/img/b/280092/htc-one-me-dual-sim.jpg,SGD,http://www.expansys.com.sg/htc-one-me-dual-sim-unlocked-lte-32gb-gold-sepia-280092/,11:14:43.538000,HTC One ME Dual SIM M9ew ,,
"Home,Tablet PCs & iPads,Tablets,iPads",sku:285788,,Price Not Announced,http://i2.expansys.com/img/b/285788/apple-ipad-pro-a1584.jpg,,http://www.expansys.com.sg/apple-ipad-pro-a1584-wifi-32gb-silver-285788/,11:14:43.576000,Apple iPad Pro A1584 ,,
"Home,Tablet PCs & iPads,Tablets,iPads",sku:285791,ean:888462521734,"SG$1,334,.99",http://i1.expansys.com/img/b/285791/apple-ipad-pro-a1584.jpg,SGD,http://www.expansys.com.sg/apple-ipad-pro-a1584-wifi-128gb-silver-285791/,11:14:43.854000,Apple iPad Pro A1584 ,,
"Home,Mobile Phones,Dual SIM Phones",sku:274853,ean:8806086679541,"SG$759,.99",http://i1.expansys.com/img/b/274853/samsung-galaxy-s6.jpg,SGD,http://www.expansys.com.sg/samsung-galaxy-s6-unlocked-lte-32gb-white-pearl-274853/,11:14:44.255000,Samsung Galaxy S6 Dual-SIM SM-G9200 ,,
"Home,Tablet PCs & iPads,Android,Android Tablets - 9""",sku:280813,ean:8806088033914,"SG$719,.99",http://i1.expansys.com/img/b/280813/samsung-galaxy-tab-s2-97-sm-t815.jpg,SGD,http://www.expansys.com.sg/samsung-galaxy-tab-s2-97-sm-t815-lte-32gb-white-280813/,11:14:44.925000,Samsung Galaxy Tab S2 9.7 SM-T815C ,,
