category,sku,ean,brand,primary_image_url,price,currency,link,time,title,availability,desc
"Home,Watches,Smart Watches",sku:284388,ean:6947681528086,Motorola,http://i2.expansys.com/img/b/284388/motorola-moto-360-2nd-generation.jpg,"SG$524,.99",SGD,http://www.expansys.com.sg/motorola-moto-360-2nd-generation-mens-46mm-case-cognac-leather-284388/,16:04:42.137000,Motorola moto 360 (2nd Gen.) ,,
"Home,Geek Shop,Audio & Visual",sku:276493,ean:5055887324072,SJCAM,http://i1.expansys.com/img/b/276493/sjcam-sj5000-plus-full-hd-sports-camera.jpg,SG$200,,http://www.expansys.com.sg/sjcam-sj5000-plus-full-hd-sports-camera-gold-276493/,16:04:42.437000,SJCAM SJ5000 Plus WiFi Full HD Sports Camera ,,
"Home,Mobile Phones,SIM Free Phones",sku:285605,ean:802975061112,BlackBerry,http://i2.expansys.com/img/b/285605/blackberry-passport.jpg,SG$714.99,SGD,http://www.expansys.com.sg/blackberry-passport-unlocked-32gb-silver-285605/,16:04:42.537000,BlackBerry® Passport SQW100-4: RHR191LW ,,
"Home,Watches,Smart Watches",sku:286073,ean:8806088099231,Samsung,http://i1.expansys.com/img/b/286073/samsung-gear-s2-classic.jpg,SG$479.99,SGD,http://www.expansys.com.sg/samsung-gear-s2-classic-dark-grey-286073/,16:04:42.791000,Samsung Gear S2 classic SM-R732 ,,
"Home,Phablets",sku:281920,ean:8801643002053,Samsung,http://i1.expansys.com/img/b/281920/samsung-galaxy-note5-dual-sim-sm-n9200.jpg,"SG$904,.99",SGD,http://www.expansys.com.sg/samsung-galaxy-note5-dual-sim-sm-n9200-unlocked-lte-32gb-silver-titanium-281920/,16:04:43.048000,Samsung Galaxy Note5 (Dual SIM) SM-N9200 ,,
"Home,Mobile Phones,Dual SIM Phones",sku:285212,ean:8806084998873,LG,http://i1.expansys.com/img/b/285212/lg-v10-dual-sim-h961n.jpg,"SG$927,.16",SGD,http://www.expansys.com.sg/lg-v10-dual-sim-h961n-unlocked-64gb-leather-black-285212/,16:04:43.191000,LG V10 Dual-SIM H961N ,,
"Home,Watches,Bluetooth Watches",sku:265574,ean:7311271504511,Sony,http://i1.expansys.com/img/b/265574/sony-smartband-talk.jpg,SG$134.25,SGD,http://www.expansys.com.sg/sony-smartband-talk-with-2-black-wristbands-sl-265574/,16:04:43.608000,Sony Smartband Talk SWR30 ,,
"Home,Mobile Phones,SIM Free Phones,Android,KitKat 4.4",sku:273215,ean:4627080310469,YOTAPHONE,http://i2.expansys.com/img/b/273215/yotaphone-2-yd201-lte-32gb-black.jpg,"SG$842,.00",SGD,http://www.expansys.com.sg/yotaphone-2-yd201-lte-32gb-black-with-free-bumper-case-273215/,16:04:43.756000,"YOTAPHONE 2 (YD201) LTE, 32GB, Black ",,
"Home,Tablet PCs & iPads,Android,Android Tablets - 9""",sku:268547,ean:4718487661213,Google,http://i2.expansys.com/img/b/268547/google-nexus-9-tablet.jpg,"SG$649,.99",SGD,http://www.expansys.com.sg/google-nexus-9-tablet-unlocked-lte-32gb-indigo-black-268547/,16:04:43.909000,Google Nexus 9 ,,
Home,sku:272625,,Veho,http://i2.expansys.com/img/b/272625/veho-extreme-sports-pack-for-muvi.jpg,"SG$35,.99",SGD,http://www.expansys.com.sg/veho-extreme-sports-pack-for-muvi-272625/,16:04:44.109000,Veho Extreme Sports Pack For Muvi,,
,,,,,,,,,,,
"Home,Geek Shop,Audio & Visual",sku:273004,ean:5055887315339,SJCAM,http://i1.expansys.com/img/b/273004/sjcam-sj4000-wifi-full-hd-sports-camera.jpg,SG$118.03,SGD,http://www.expansys.com.sg/sjcam-sj4000-wifi-full-hd-sports-camera-black-273004/,16:04:44.162000,SJCAM SJ4000 WIFI Full HD Sports Camera ,,
Home,sku:266790,ean:818279012279,GoPro,http://i1.expansys.com/img/b/266790/gopro-hero-action-cam.jpg,SG$234.09,SGD,http://www.expansys.com.sg/gopro-hero-action-cam-266790/,16:04:44.479000,GoPro HERO Action Cam,,
Home,sku:281172,ean:5055887320968,SJCAM,http://i1.expansys.com/img/b/281172/sjcam-sj4000-battery.jpg,"SG$16,.99",SGD,http://www.expansys.com.sg/sjcam-sj4000-battery-281172/,16:04:44.642000,SJCAM SJ4000 Battery,,
"Home,Geek Shop,Audio & Visual",sku:266786,ean:818279013085,GoPro,http://i2.expansys.com/img/b/266786/gopro-hero4-black.jpg,SG$700.64,SGD,http://www.expansys.com.sg/gopro-hero4-black-standard-266786/,16:04:44.679000,GoPro HERO4 Black ,,
"Home,Tablet PCs & iPads,Tablet Accessories,Headphones & Speakers",sku:273649,,TDK,http://i2.expansys.com/img/b/273649/tdk-trek-a28-weathrized-bluetooth-speaker.jpg,"SG$71,.36",SGD,http://www.expansys.com.sg/tdk-trek-a28-weathrized-bluetooth-speaker-black-273649/,16:04:44.942000,TDK Trek A28 Weatherized Bluetooth Speaker ,,
